,host_id,neighbourhood_f,longitude,room_type_f,calculated_host_listings_count,availability_365
0,133426665.0,35.0,-73.92108,0.0,1.0,333.0
1,2682346.0,6.0,-73.93926,1.0,1.0,0.0
2,59839625.0,39.0,-73.91646,1.0,1.0,13.0
3,4290578.0,18.0,-73.92195,0.0,1.0,0.0
4,21216045.0,12.0,-73.96208,1.0,1.0,60.0
5,5845384.0,33.0,-73.99677,1.0,1.0,33.0
6,33064599.0,8.0,-73.96724,0.0,6.0,326.0
7,62852828.0,2.0,-73.95265,1.0,2.0,88.0
8,14460656.0,19.0,-73.98068,1.0,1.0,0.0
9,4619655.0,8.0,-73.9754,1.0,1.0,0.0
10,258094448.0,56.0,-73.92541,1.0,1.0,105.0
11,6980995.0,60.0,-73.99884,0.0,5.0,0.0
12,31175000.0,6.0,-73.93858,1.0,3.0,298.0
13,237107169.0,6.0,-73.92443,1.0,1.0,74.0
14,5164854.0,2.0,-73.93771,0.0,8.0,42.0
15,175103962.0,6.0,-73.90665,0.0,6.0,170.0
16,193626078.0,127.0,-73.86282,1.0,3.0,347.0
17,31859704.0,210.0,-73.73373,1.0,1.0,3.0
18,234090781.0,145.0,-73.75787,0.0,2.0,54.0
19,787204.0,20.0,-73.955,1.0,1.0,365.0
20,74304509.0,29.0,-73.96926,0.0,1.0,0.0
21,43121487.0,126.0,-73.90064,1.0,1.0,285.0
22,36816089.0,30.0,-73.94188,0.0,1.0,0.0
23,4422415.0,28.0,-73.94779,1.0,2.0,358.0
24,697442.0,54.0,-73.94667,0.0,3.0,19.0
25,145981682.0,71.0,-73.98418,0.0,3.0,213.0
26,8314981.0,14.0,-73.99822,1.0,2.0,0.0
27,3136147.0,111.0,-73.99461,0.0,1.0,0.0
28,303926.0,84.0,-73.88578,1.0,2.0,167.0
29,2807798.0,2.0,-73.9437,1.0,2.0,7.0
30,15439713.0,14.0,-74.0006,1.0,1.0,4.0
31,65826607.0,113.0,-73.98454,1.0,1.0,0.0
32,228750026.0,22.0,-73.95271,0.0,1.0,69.0
33,53632978.0,12.0,-73.94777,1.0,1.0,0.0
34,137832487.0,99.0,-73.90163,0.0,1.0,0.0
35,2523466.0,7.0,-73.99036,0.0,1.0,9.0
36,253192168.0,11.0,-74.00497,1.0,1.0,270.0
37,51742426.0,12.0,-73.96383,1.0,1.0,257.0
38,54351163.0,19.0,-73.98048,1.0,1.0,242.0
39,3376018.0,32.0,-73.9929,0.0,1.0,0.0
40,152047633.0,12.0,-73.96225,0.0,1.0,0.0
41,8768792.0,20.0,-73.95149,0.0,1.0,0.0
42,18048584.0,19.0,-73.98713,0.0,1.0,0.0
43,1462483.0,1.0,-73.98237,0.0,2.0,174.0
44,1030526.0,13.0,-73.98086,1.0,1.0,0.0
45,15569250.0,64.0,-73.99682,0.0,1.0,332.0
46,4452444.0,12.0,-73.94215,0.0,1.0,0.0
47,268847927.0,7.0,-73.99158,1.0,1.0,218.0
48,74179880.0,70.0,-73.88932,1.0,8.0,343.0
49,7856381.0,12.0,-73.95291,1.0,1.0,0.0
50,2236212.0,6.0,-73.93641,1.0,2.0,179.0
51,23491471.0,178.0,-73.7393,1.0,1.0,361.0
52,182989977.0,54.0,-73.93785,0.0,5.0,365.0
53,76519640.0,2.0,-73.95076,0.0,1.0,2.0
54,34010790.0,6.0,-73.9206,0.0,1.0,0.0
55,105825171.0,2.0,-73.94037,0.0,1.0,0.0
56,35996743.0,38.0,-73.99141,1.0,1.0,0.0
57,13860679.0,18.0,-73.92232,0.0,3.0,179.0
58,259796664.0,25.0,-73.93631,1.0,10.0,357.0
59,262011998.0,11.0,-74.00484,1.0,1.0,58.0
60,3094754.0,79.0,-74.00363,0.0,2.0,357.0
61,249069377.0,52.0,-73.99355,0.0,1.0,13.0
