,price
23645,89
10225,75
18831,105
35280,45
32680,169
37533,215
19167,49
14880,400
14143,295
11599,125
47519,120
16916,119
19975,120
40748,136
3444,45
30352,43
39808,200
46966,149
43455,45
1229,200
16622,65
25355,105
9170,70
6878,250
2235,60
36712,999
10207,490
1564,103
35452,160
5863,310
48489,181
36253,90
38992,55
42533,200
24704,65
5179,125
43563,1799
13461,190
13909,140
25700,64
33560,90
12727,70
11420,125
34182,100
8702,95
4460,115
24530,70
47452,399
21873,90
2718,120
35785,190
35556,75
31340,70
37873,75
13236,50
30703,93
31028,118
22058,99
44818,299
45421,220
32541,149
42630,120
20376,99
746,85
46149,295
10685,70
29309,101
35713,134
42123,39
32341,399
10019,175
7605,225
15419,170
29086,60
27903,275
1539,120
22494,50
22789,100
18057,150
46586,100
701,58
33556,465
5419,90
42980,130
1215,82
3028,250
13247,55
21532,160
19625,55
35997,70
15927,190
6927,155
12233,150
27839,175
6608,75
26412,250
14267,70
2466,60
21414,75
15485,70
12716,100
6159,75
5477,210
39081,150
39237,125
15472,85
46558,300
17765,219
23826,250
46315,130
20624,50
37420,140
20085,150
26989,70
13367,175
25019,65
38971,34
17715,35
39494,129
25691,55
25663,47
18069,153
15289,35
11210,60
14160,45
41957,150
16778,125
7676,185
43935,53
39205,60
10901,100
42069,100
31185,120
23158,90
6224,150
15592,185
22666,150
1846,170
35410,55
31500,80
39327,70
20993,29
45868,80
12293,80
9524,45
30202,58
42515,60
14985,38
24969,90
47136,170
10606,250
18910,151
26748,295
44337,299
20422,55
16687,150
8362,129
41687,80
2358,47
32238,37
28504,200
26358,107
8885,80
11105,352
11464,259
5772,120
41593,140
3381,120
38994,70
41246,97
35703,200
46743,500
32267,60
35265,75
45693,125
1646,90
21180,50
47024,100
31333,85
23476,99
7807,132
8379,449
28880,40
22167,199
2135,100
35502,200
163,250
48821,50
13583,79
33441,30
19387,100
19263,300
18466,75
33177,595
27096,50
29185,89
15352,80
44890,60
21829,45
25035,250
21904,55
41200,42
12590,160
7576,118
41311,98
18347,77
36489,425
6548,250
2111,62
29319,85
19278,150
35048,115
7261,58
7131,180
18512,55
33176,75
5363,145
8770,160
41443,300
15548,40
41942,200
30067,59
34293,52
13944,60
40952,145
36333,299
10479,150
1898,85
42187,85
7098,55
141,199
33276,65
27542,80
30853,95
33670,125
2407,85
21498,55
41944,42
16453,100
27888,95
18840,280
15178,300
34357,86
6634,125
47541,199
42850,300
44735,190
20184,90
28232,100
42247,75
28399,41
19110,462
6568,110
9950,80
25119,60
8693,175
40467,100
12670,200
35054,49
13560,41
5552,140
19525,139
30200,240
1513,55
14633,150
5776,275
2603,250
11253,130
46753,129
2367,94
10758,52
47351,30
24347,250
20657,65
43936,90
24055,45
42362,48
14900,130
31958,295
28063,85
2862,249
15259,79
39298,140
37520,150
12282,160
35723,180
10840,60
45112,130
17726,70
20483,350
35746,65
36136,295
41294,71
43173,100
11098,175
36630,230
43575,125
48018,90
23442,60
44896,100
33622,100
31083,100
18294,75
28177,650
4835,99
40790,45
42304,79
14471,60
19920,160
13365,189
25001,37
33318,80
46018,77
3434,106
6397,895
3092,175
32168,450
31644,95
10188,92
4514,200
12831,300
46598,60
28128,78
11242,175
30622,45
32798,75
23746,65
11436,41
4143,65
23950,150
45214,199
31807,40
18725,85
17535,45
16692,120
16510,199
1169,220
39307,209
17172,40
144,115
30958,39
3720,5250
21764,80
23607,69
2446,290
9125,120
31133,55
12155,289
13925,120
11670,98
2941,90
11764,125
27328,65
12297,300
38353,86
28899,200
48802,150
1115,115
38599,300
13830,55
23525,150
30874,200
42701,80
27303,150
5841,150
2349,115
47331,285
11252,50
22776,199
36495,40
242,500
8712,52
1956,90
15302,50
27524,67
30663,49
4040,109
12285,46
41829,125
4681,139
35287,60
34975,60
8058,105
18408,115
47419,249
27124,40
44664,150
22293,100
5073,80
48730,50
6993,288
9270,267
31641,65
28024,80
38284,500
24552,60
48464,55
46577,70
24595,180
16915,325
28416,170
22882,100
45602,180
10525,350
1797,45
48372,200
26481,55
45156,95
27476,50
41657,175
39079,130
42676,370
25871,115
14478,176
22994,70
47500,195
46374,45
21919,100
23815,55
21989,84
35594,350
43241,125
9456,98
2206,275
27942,250
16015,67
32649,66
21092,75
3841,300
47417,295
47177,54
7018,450
7194,115
16243,120
43081,49
22800,90
9373,35
4323,59
12435,220
21771,180
38045,59
46472,50
31989,75
16143,178
41076,120
1092,150
39403,45
39753,116
38906,125
8978,120
25970,85
42013,220
6918,78
4942,95
39453,600
29465,32
24179,28
23487,49
24806,83
37227,85
42086,230
34747,50
42602,50
36784,49
1555,70
10825,50
4147,95
32849,88
18327,38
38965,30
40034,200
29449,60
25553,55
4035,70
9184,210
34253,139
11316,40
33780,109
10599,180
21556,49
5740,199
38771,45
46361,114
25419,269
25735,100
37776,276
31732,200
3772,400
27579,78
11629,100
28749,33
47120,140
38879,55
42584,40
32189,169
24410,130
31676,100
31926,80
21169,130
1549,150
4014,60
29127,78
2333,133
12451,115
10152,70
7946,170
39637,180
46105,295
34642,49
43345,180
28333,34
34938,36
2864,175
15096,325
19042,70
34419,81
28883,350
26225,79
2384,160
13681,69
2447,35
29375,44
26634,225
22801,50
20858,550
30803,200
5519,157
39005,98
44468,120
5171,120
3673,50
20314,51
29789,35
48196,60
36979,49
40690,120
15225,200
22480,40
20950,55
3758,1250
19460,135
1219,160
25450,69
34684,45
29837,45
26193,161
46759,65
47109,168
41975,38
31993,75
13672,75
32335,40
21755,50
35315,80
8458,135
8557,140
20495,124
36341,359
25230,75
2265,149
15198,100
47354,75
25926,75
2366,139
37887,42
44204,150
11980,110
16966,196
32840,105
14191,80
15069,49
17027,115
41819,85
2550,300
1322,159
5930,85
32563,500
35052,49
11749,180
38062,300
13790,50
5486,60
36807,90
36475,55
7604,150
38848,290
46892,28
16337,100
15675,90
39560,200
26201,159
16689,200
1424,299
42089,275
14142,250
30911,75
30753,86
18225,65
27198,25
5694,125
46812,190
34902,330
27587,63
7092,61
13481,145
15280,60
8371,250
27009,80
17131,270
31444,65
443,175
37178,119
21133,135
21034,250
2495,200
14349,185
23622,50
22378,49
28457,100
44944,100
6378,175
23866,215
44482,300
32797,35
26623,130
433,77
33923,89
2803,250
14924,275
47319,49
3880,195
43869,68
46432,700
43515,85
37909,75
30122,133
3195,119
8984,89
26619,75
3219,75
47548,1100
5345,75
24716,48
23417,68
34731,55
13691,99
29786,50
25210,130
47909,80
34078,80
8507,64
39650,90
48804,99
30015,60
3922,55
21859,60
21621,110
17561,95
44607,125
33698,195
32515,195
43861,36
43275,51
24262,100
36935,175
29407,38
8237,350
2757,250
12361,160
35924,150
32094,80
25124,120
45351,83
1790,63
27651,55
24663,300
14749,150
48193,250
5888,99
39402,283
16646,55
42093,324
13249,150
24086,80
421,150
3087,81
44820,58
534,43
16519,120
8397,125
28575,200
31935,225
10716,39
43960,60
30039,300
21424,89
2759,600
5178,92
4877,175
34029,86
6172,80
5381,100
47727,299
7559,90
12304,166
45085,500
39370,65
31147,71
26921,200
43067,74
45888,695
12398,300
5961,199
27746,125
35279,170
8845,64
1671,100
21036,75
35585,86
11788,249
33344,58
36211,53
6420,170
39951,160
32888,65
46991,100
11019,90
12220,115
26524,145
39180,60
33470,59
7808,80
7109,125
32389,117
10237,239
15820,100
4591,120
6802,80
26253,103
22866,137
48121,175
18025,96
31421,69
19958,195
34283,150
44025,50
44100,150
5307,45
41084,60
45526,217
21974,150
32258,359
44093,100
46249,500
47818,350
41112,60
28716,149
7525,78
30422,110
27387,489
21428,70
10964,150
36096,200
21769,85
17927,50
32325,100
33983,40
42237,101
6352,175
1972,125
111,125
4551,171
44129,92
47081,75
8164,120
14264,120
11474,39
13976,99
33084,274
28080,50
922,95
4524,250
29215,50
25863,100
29668,125
27475,99
38275,72
40317,300
4384,160
47564,40
35961,160
24196,40
27916,61
45645,150
6603,185
104,101
23444,125
9193,200
16753,75
32851,65
33455,120
31367,50
28577,109
41783,75
62,250
3670,900
24861,200
6324,95
6801,45
16844,35
1146,92
6547,145
12794,699
37674,129
13916,44
41971,43
11925,465
39908,399
29852,20
9773,140
42876,200
21918,140
47472,200
362,100
31658,40
5326,150
31138,180
17601,95
20892,95
1481,220
16509,110
38165,120
42681,110
3193,228
3170,149
10686,199
13197,50
25755,184
44966,100
5393,125
38027,125
16532,66
5309,72
32706,45
48627,98
29696,100
3537,6000
34260,80
21007,50
10988,130
13489,399
25393,62
9484,178
31737,135
29270,225
37141,108
11073,150
28330,80
6912,50
23015,45
47988,150
47016,57
32601,65
40551,200
4804,47
25411,185
25971,48
19732,350
38247,50
43344,40
17538,59
215,130
18638,49
36665,87
37932,100
38869,95
32045,48
5386,200
39056,105
15340,189
13654,165
16169,50
40477,85
21313,55
42108,100
2011,60
2868,241
24894,111
43738,140
35093,70
35647,135
13201,199
24754,500
25671,35
14315,50
2629,259
11353,261
21485,65
26266,435
2996,260
31582,160
2024,170
